year_trimmed_final,donor_trimmed_final,organization_name_trimmed_final,city_trimmed_final,county,state_trimmed_final,dues_paid,president_trimmed_final,delegates_trimmed_final,clubs_sending_greetings_trimmed_final,source_image,notes
1897,Mrs Warren Logan,,Tuskegee,,AL,$1.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1897,,,,,,$4.30,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,"""to cash from envelopes"" "
1897,,Sojourner Truth Club,Montgomery,,AL,$5.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1897,,Woman's Club,Richmond,,VA,$6.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1897,Mrs Edna Cheney,,,,,$5.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1897,Mrs E L Anthony,Federation Treasury,,,,$53.85,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Club,Athens,,GA,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Sojourner Truth Club,Memphis,,TN,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Rose of New England League,Norwich,,CT,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Club,Jefferson City,,MO,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Improvement League,Selma,,AL,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Loyal Union,,,NY,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Club,Peoria,,IL,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Club,Little Rock,,AR,$6.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Conference Club,Chicago,,IL,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Auxiliary to Douglass Hospital,Philadelphia,,PA,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Orphans' Home Association,St Louis,,MO,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,O & O Ladies' Home,Memphis,,TN,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Phyllis Wheatley Club,Paola,,KS,$0.50,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Wednesday Afternoon Club,St Louis,,MO,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Improvement League,,,WV,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,10x1=10 Club,Montgomery,,AL,$1.50,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Douglass Circle,Columbus,,GA,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,W C T U,Jackson,,TN,$4.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Civic League,Chicago,,IL,$6.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Sierra Leone Club,Lawrence,,KS,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Sojourner Truth Club,Birmingham,,AL,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Phyllis Wheatley League,Chicago,,IL,$6.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,St Louis Woman's Club,St Louis,,MO,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Sierra Leone Club,Lawrence,,KS,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Improvement League,Louisville,,KY,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,J B Bruce W C T U,St Paul,,MN,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Lucy Thurman W C T U,St Paul,,MN,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,John Brown Monument and Charity Club,St Paul,,MN,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Wayman Circle,Chicago,,IL,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Progress Study Club,Kansas City,,MO,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Era Club,Boston,,MA,$6.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's League,Newport,,RI,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's League,Kansas City,,MO,$6.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Woman's Club,Jefferson City,,MO,$3.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Loyal Union,New Bedford,,MA,$6.00,,,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,
1899,,Ruth Circle of King's Daughters,Memphis,,TN,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Willing Workers,Palmyra,,MO,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Commercial Reciprocity Club,Indianapolis,,IN,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,F E W Harper Club,Keokuk,,IA,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Afro-American Club,New Orleans,,LA,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,10x1=10 Club,Montgomery,,AL,$1.50,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Relief Club,Nashville,,TN,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,W C T U,Jackson,,TN,$2.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Julia Gaskins Club,Evanston,,IL,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Woman's Improvement League,Detroit,,MI,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Woman's Missionary Circle,St Louis,,MO,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Woman's Club,Rochester,,NY,$6.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,F E W Harper Club,Pittsburg and Alleghany,,PA,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Woman's Club,Omaha,,NE,$6.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Woman's Loyal Union,Charleston,,VA,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Woman's Improvement Club,Omaha,,NE,$6.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,B T Washington Club,Lima,,OH,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,Woman's League,Newport,,RI,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,Mrs Lottie Jackson,,Bay City,,MI,$18.50,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,from subscriptions to notes 
1899,,,,,,$106.90,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,"""to cash recieved from ways and means committee, Mrs E L Anthony, Chairman"" "
1899,Mrs Warren Logan,,,,,$1.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1899,,,,,,$15.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,"""to cash from the sale of badges to members"""
1899,Miss A V Thompkins,,,,,$0.35,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,"""to cash from the sale of constitutions, per miss a v thompkins"" "
1901,,Woman's Missionary Society of Mount Zion Congregational Church,Cleveland,,OH,$2.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Phyllis Wheatley Club,Buffalo,,NY,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Woman's Mutual Improvement Club,Knoxville,,TN,$6.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Mothers' Club,Wilberforce,,OH,$2.78,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Improvement League,Charleston,,WV,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,City Federation Club,Montgomery,,AL,$4.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,"Federation Club, Mt Zion Cong'l Church",Cleveland,,OH,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Woman's Loyal Union,Charleston,,WV,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Woman's Club,Marietta,,GA,$2.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,Mrs Curl,,,,,$25.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,Subscriptions from clubs (recording secretary)
1901,,W C T U,Cleveland,,OH,$1.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Minerva Club,Cleveland,,OH,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Woman's Club,Jefferson City,,MO,$4.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Phyllis Wheatley Club,Nashville,,TN,$4.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Phyllis Wheatley Club,New Orleans,,LA,$10.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Woman's Club,Omaha,,NE,$2.40,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,Miss Lynch,,,,,$9.40,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,"""to cash from Miss Lynch, cor. see'y from the following clubs: Phyllis Wheatley Circle, Grand Rapids Mich, Willing Workers Society Detroit, Mich. two years dues, $8.00, total 9.40"" "
1901,,Harper W C T U,St Louis,,MO,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Woman's League,Newport,,RI,$6.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Colored Orphan's Home Ass'n,St Louis,,MO,$3.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,Mrs C A Curl,,,,,$20.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,dues from clubs 
1901,,Woman's Club,St Louis,,MO,$4.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,F E W Harper League,Pittsburg and Alleghany,,PA,$4.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Ida B Wells Club,Chicago,,IL,$6.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Rose of New England,Norwich,,CT,$4.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Woman's Loyal Union,New Bedford,,MA,$2.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Sojourner Truth Club,Memphis,,TN,$6.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Woman's League of Kansas City,Kansas City,,MO,$4.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Woman's Improvement Club,Louisville,,KY,$8.00,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1901,,Peoria Woman's Aid,,,,$11.60,,,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,
1900,,Woman's Federation Club,Ann Arbor,,MI,$3.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1900,,Rose of New England League,Norwich,,CT,$4.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1900,,Phyllis Wheatley,Nashville,,TN,$2.70,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
,,F E W Harper League of Pittsburg and Alleghany,Pittsburg and Alleghany,,PA,$3.60,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,what to do when there are two locations?
1900,,10x1=10 Club,Montgomery,,AL,$2.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1900,,Woman's Club,Atlanta,,GA,$5.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1900,Miss Meta Pelham,,,,,$6.25,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,"""to cash from subscriptions to ""notes"" solicited by miss meta pelham"" "
1900,,Phyllis Wheatley Club,Paola,,KS,$1.50,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1900,,Minerva Club,Cleveland,,OH,$1.70,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,,,,,$5.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,to cash from Mrs C A Curl recording secretary dues from clubs 
1901,,M Murray Washington Kindergarten Association,Atlanta,,GA,$3.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Paul Lawrence Dunbar Club,Norwalk,,OH,$1.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Friday Study Club,Cleveland,,OH,$1.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,,,,,$39.97,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,"To cash from Mrs B T Washington subscriptions collected from ""notes"" "
1901,,Coterie Club,Topeka,,KS,$1.90,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Mutual Aid Club,Frankfort,,KY,$2.50,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Club,Tuskegee,,AL,$2.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,,,,,$37.58,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,"to cash from subscriptions sent for ""notes"" per Mrs B T Washington "
1901,,Utopia Club,St Louis,,MO,$1.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Phyllis Wheatley Club,Chicago,,IL,$6.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Harriet Beecher Stowe Club,Washington,,DC,$2.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Julia Gaskins Club,Evanston,,IL,$4.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Christian Industrial and Protective Club,Jacksonville,,FL,$1.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Phyllis Wheatley Club,Buffalo,,NY,$17.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Musical Association,Buffalo,,NY,$4.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Amity Social and Literary Club,Buffalo,,NY,$1.60,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Lillian Coleman Colored Woman's Club,Milwaukee,,WI,$1.50,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Ladies' Thimble Club,Jackson,,MI,$2.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Civic League,Chicago,,IL,$16.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,F Douglass Hospital Ass'n,Philadelphia,,PA,$2.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Missionary Club,St Louis,,MO,$3.80,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Mothers' Union of Olivet Church,Chicago,,IL,$3.50,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Mothers' Council,Opelika,,AL,$2.30,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Niagra Falls Phyllis Wheatley Club,,,,$0.10,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,"location = niagra falls im assuming, not sure if I should list that as the location or not though. "
1901,,Phyllis Wheatley Home Ass'n,Detroit,,MI,$3.20,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Club,Little Rock,,AR,$2.80,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Club,Waugh,,AL,$2.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Federation Club,Ann Arbor,,MI,$1.20,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Club,Athens,,GA,$2.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Sojourner Truth Club,Birmingham,,AL,$4.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Willing Workers,Cincinnati,,OH,$0.70,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Afro-American League,New Orleans,,LA,$4.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Woman's Club,Atlanta,,GA,$5.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Married Ladies' Club,St Louis,,MO,$2.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Colored Women's League,Baltimore,,MD,$1.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Susan B Anthony Club,Rochester,,NY,$4.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Tuskegee Women's Club,Tuskegee,,AL,$2.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Wayman Circle,Chicago,,IL,$2.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,Phyllis Wheatley Club,Paola,,KA,$1.00,,,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,
1901,,,,,,$8.10,,,,https://drive.google.com/open?id=13Kn5-jfQQ-bkZfJ5v1wVmPYtQOu0eEdX,from sale of badges 
1901,Mrs M C Terrell,,,,,$5.00,,,,https://drive.google.com/open?id=13Kn5-jfQQ-bkZfJ5v1wVmPYtQOu0eEdX,"""to cash from Mrs M C Terrell donation on printing press comments"""
1901,Mrs C A Curl,,,,,$6.00,,,,https://drive.google.com/open?id=13Kn5-jfQQ-bkZfJ5v1wVmPYtQOu0eEdX,dues from club 
1901,,,,,,$100.30,,,,https://drive.google.com/open?id=13Kn5-jfQQ-bkZfJ5v1wVmPYtQOu0eEdX,to cash from amounts collected to join national council of women of the united states 
1901,,,,,,$79.86,,,,https://drive.google.com/open?id=13Kn5-jfQQ-bkZfJ5v1wVmPYtQOu0eEdX,to cash from ways and means committee 
1905,,1904 Art Club,Conroe,,TX,$2.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1905,,Queen Esther Club,Smithers,,WV,$1.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1905,,Women's Progressive Club,Salt Lake City,,UT,$3.30,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1905,Miss Holmes,,Huntsville,,AL,$1.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,"""to cash from a Chicago club, per miss holmes, hunstville, Ala"" "
1905,,Woman's Reading Circle,Steubenville,,OH,$1.20,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1905,Mrs T H Lyles,,St Paul,,MN,$5.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1905,Mrs Ida Joyce Jackson,,,,CO,$1.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1905,,Coterie Club,Topeka,,KS,$1.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1905,"Miss E C Carter, Mrs L D Hickinson",,St Paul,,MN,$19.50,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,"""to cash from miss E C Carter from minnesota clubs, per Mrs L D Hickinson, St Paul MN"
1905,,Forest City Club,Middletown,,CT,$1.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1905,Mrs B T Washington,,,,,$85.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,"""from the sale of notes"" "
1906,,Rose of New England,Norwich,,CT,$3.60,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,Young Ladies Self Culture Club,Salt Lake,,UT,$1.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,St P Ruffin Club,South Bend,,IN,$4.80,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,Vashon Mothers' Club,St Louis,,MO,$2.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,Woman's Club,Athens,,GA,$4.40,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,The 1906 Art Club,Houston,,TX,$1.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,"Ladies' Art, Literary and Social Club",South McAlester,,,$1.20,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,"""South McAlester, I T"" "
1906,,Woman's Reading Club,Steubenville,,OH,$1.60,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,The Detroit Study Club,Detroit,,MI,$2.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,Entre Nous Charity Club,Detroit,,MI,$1.20,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,The Detroit Thimble Club,Detroit,,MI,$2.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,Epsilon Row Sigma Club,Birmingham,,AL,$2.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
1906,,Indiana State Federation,Muncie,,IN,$2.00,,,,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,
