source,source,variables,page number,screenshot,sheet reference
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,46,https://drive.google.com/open?id=1-8yH_pG1VS2GZAnU5_pFnbv2lzi3kG6a,
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,47,https://drive.google.com/open?id=11FtO1lSoQdu4ZvIciLVJBpR9sLakE0V3,
,"National Association Notes [newsletter of the NACWC], covering personal morals, aesthetic appreciation, Margaret Murray Washington, women's social roles, colored women's club activities in Alabama, 1912",,20,https://drive.google.com/open?id=1ohARtPqYzHoVcsytzPA7Dme2AP5A0v3O,
,"National Association Notes [newsletter of the NACWC], covering personal morals, aesthetic appreciation, Margaret Murray Washington, women's social roles, colored women's club activities in Alabama, 1912",,21,https://drive.google.com/open?id=1d_PVkhUMw-3eY0vvbFsPs-RhxQh62WB4,
,"National Association Notes [newsletter of the NACWC], covering personal morals, aesthetic appreciation, Margaret Murray Washington, women's social roles, colored women's club activities in Alabama, 1912",,22,https://drive.google.com/open?id=1g2g37X6cEc7FSX9GoFN4MSsvvrtzhDmJ,
,"National Association Notes [newsletter of the NACWC], covering personal morals, aesthetic appreciation, Margaret Murray Washington, women's social roles, colored women's club activities in Alabama, 1912",,23,https://drive.google.com/open?id=1I_uKSa29RqvdHDSLJwn_-hhvAUEdRlSI,
,"National Association Notes [newsletter of the NACWC], covering Colored women's club activities in Louisville, Kentucky, Oklahoma, Louisiana, Alabama, Texas, and California, etiquette in female dress, youth work, NCW, and fresh air farms, 1913",national officers ,7,https://drive.google.com/open?id=1c1NbTBKIg7yzLcfO1TJksn-bO8Jkr3kB,officers 
,"National Association Notes [newsletter of the NACWC], covering Colored women's club activities in Louisville, Kentucky, Oklahoma, Louisiana, Alabama, Texas, and California, etiquette in female dress, youth work, NCW, and fresh air farms, 1913",roster of state officers ,10,https://drive.google.com/open?id=1-gB9BiJn86XSgCc2ucBomG7lApMqLPhn,officers 
,"National Association Notes [newsletter of the NACWC], covering Colored women's club activities in Louisville, Kentucky, Oklahoma, Louisiana, Alabama, Texas, and California, etiquette in female dress, youth work, NCW, and fresh air farms, 1913",,11,https://drive.google.com/open?id=1t5tQYu_-JG2TIM9dwkF00w5dd0y7VuVA,officers 
,"National Association Notes [newsletter of the NACWC], covering Colored women's club activities in Louisville, Kentucky, Oklahoma, Louisiana, Alabama, Texas, and California, etiquette in female dress, youth work, NCW, and fresh air farms, 1913",roster of state officers ,23,https://drive.google.com/open?id=1MJAbM9aFnlWb-cGC-OS4UZp37Wgd8Kre,
,"National Association Notes [newsletter of the NACWC], covering Colored women's club activities in Louisville, Kentucky, Oklahoma, Louisiana, Alabama, Texas, and California, etiquette in female dress, youth work, NCW, and fresh air farms, 1913",,24,https://drive.google.com/open?id=1kraoeUEPPPk8ke_uo9qbVUeZ8PEfndfe,
,"National Association Notes [newsletter of the NACWC], covering Colored women's club activities in Louisville, Kentucky, Oklahoma, Louisiana, Alabama, Texas, and California, etiquette in female dress, youth work, NCW, and fresh air farms, 1913",roster of state officers,38,https://drive.google.com/open?id=1Ex0hk-qm19RVSjTrNmE2hns0rZBW4aBn,
,"National Association Notes [newsletter of the NACWC], covering Colored women's club activities in Louisville, Kentucky, Oklahoma, Louisiana, Alabama, Texas, and California, etiquette in female dress, youth work, NCW, and fresh air farms, 1913",,39,https://drive.google.com/open?id=1PVfl6u9hnxrsnxqZJt3UcfANvWf5mksA,
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",delegates ,11,https://drive.google.com/open?id=1THxIrPpYpd6ddK87caLaSs2IFiNd4pKi,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,12,https://drive.google.com/open?id=1TUVxAl1OrMuJg3UYeoU0uJV7Q0pYKgLe,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,13,https://drive.google.com/open?id=1sXtMYTfNmqWayGl-u-TDCGUEHoF4raoB,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,14,https://drive.google.com/open?id=1gXt4xs8H1l8xkPog-c2XTa1SYZJgFUNu,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,15,https://drive.google.com/open?id=1N3IpT3H97QEKGM3zobihole8G1ZWQtec,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,16,https://drive.google.com/open?id=1hcae60Rm_7-A4Xkl8MzCrrNHWUWUFP_6,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",bills rendered ,26,https://drive.google.com/open?id=17kJ0srOA0HlUdXk3TbiMvigjXNtY9fGg,
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,27,https://drive.google.com/open?id=1rdcu_FxLqxPO_gcZ6c1lRZUT_hPZ7qlS,
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",financial report ,28,https://drive.google.com/open?id=1HdyU3Mdlr-cBjYMcRXVOeBMRjG-lUJaM,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,29,https://drive.google.com/open?id=1QQPMGA0L94S6Jm05K5YAN2iPXg0SAbHv,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,30,https://drive.google.com/open?id=1M8VQ3IWUgCRkOG3ssS8SjT0fiTJ0R1ry,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,31,https://drive.google.com/open?id=16yV-iVHYdB4fUgDcLIm78pBiDJePH90v,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,32,https://drive.google.com/open?id=1lOB-XP7B01bTpcRmWswDqSsU1lwjvJPf,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,33,https://drive.google.com/open?id=1BUQg15oJ-LnzcG-FZl06Kh6XrdwdgqEC,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,34,https://drive.google.com/open?id=1wJTW2Idpzdqeh5ZrhpV_KhRs0qWwy78C,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,35,https://drive.google.com/open?id=18mK8dawg1y0wPNuQhT2DMlfWcgewJ5O-,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,36,https://drive.google.com/open?id=1fZVQBxCsVTzskITZh_P0RFpaOmrE4E3D,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,37,https://drive.google.com/open?id=16Bqk2laqta-fzC6tXwDKlA84TmQiMJg0,organizations
,"NACW Convention Minutes, 1914, including the woman suffrage endorsed, legislative pressure by NACW against Jim Crow bill in Illinois, opposition to extreme fashions in girls' attire, proposed permanent NACW headquarters in District of Columbia, NACW report on work among children in urban slums, NACW plea for peace in Europe, segregation in District of Columbia opposed, antilynching resolution, and segregation in common carriers deplored",,38,https://drive.google.com/open?id=1KwWFUf1MhAaHC0byCoX4rS-OBV9OkP98,organizations
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",national officers ,8,https://drive.google.com/open?id=1OtFmruGHAebXbjvIxs9rbBPucC3_HuJF,officers
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",,10,https://drive.google.com/open?id=1FAY7t3Bum1_a2NPvn3J2Wsmt8GsG4h9E,officers
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",,11,https://drive.google.com/open?id=1sEBodsjCe509MIMul1oSEm_CdPIeQHdw,officers
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",roster of state officers ,54,https://drive.google.com/open?id=1t7KFDAG7lnibnQHuMuHO7dxBz9d95333,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",,55,https://drive.google.com/open?id=14ufm9SmowIIge-1v6hjMGvRXXt4p-XTf,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",,56,https://drive.google.com/open?id=1mG28GvHkn_iX66_HZJBj2jQ4lDQOWiQh,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",national officers ,67,https://drive.google.com/open?id=1-2QEmOkenFQm-b6i5s_x4EPgpXOmlMPa,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",,68,https://drive.google.com/open?id=1SNdujpVPV11fogaMymp_NGSZysRWkNNm,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",roster of clubs,75,https://drive.google.com/open?id=1tPhgDPVAeVmdTbDLanDEVHboFmT8l5U3,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",,76,https://drive.google.com/open?id=1Tz_7XPd4tXuLiPQNOsFmPzbM_kk1FEdj,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",,77,https://drive.google.com/open?id=1Q7_Ih-ehcrAjwn5d4qc9K6GnkME6UNBy,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",roster of clubs,95,https://drive.google.com/open?id=1HYa5nXlawVGKcbqwTjEIErbgyIWxHrNf,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",,96,https://drive.google.com/open?id=1sPpN72iaTL3eq5t_ufg-TLDflt1OWfuh,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",,97,https://drive.google.com/open?id=1HWKNLySrcuOFasfdsnY_IhGwjPBId1N3,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Texas, New York, Pennsylvania, Missouri, Alabama, Rhode Island, Oklahoma, Ohio, and Kentucky, emancipation anniversary celebrations, women's social roles, including the women in medicine, woman suffrage, woman suffrage, and Booker T. Washington obituaries, and wage-earning women, 1915",,98,https://drive.google.com/open?id=1HujzEQvzvn8PEWtPbqIsgI1XiZC2cYta,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",officers,2,https://drive.google.com/open?id=1_oK11f7iJiToJzV5jvvPwmGC9wgfCngO,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,3,https://drive.google.com/open?id=1XlOlr5V0FyiTu2mqM3WBmn6K19sn60oZ,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",reports of states ,10,https://drive.google.com/open?id=12SUMCV5nDny279B9Xjje_x8X4yhnyLhn,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,11,https://drive.google.com/open?id=1LKl2_bDzi0LVXxflol7wOVcYd7sDY2nn,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,12,https://drive.google.com/open?id=1bq25SgdJJVx7JmEK5xFrwwiC3mK5FA7Z,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",report of the committee on conventions ,17,https://drive.google.com/open?id=1YySk97oWJ7ZCvhMrFpIV0zq4gfZZwqDP,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,18,https://drive.google.com/open?id=1NJvYVV8I85_PfzadbgvTN82D2OnAzn9H,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,19,https://drive.google.com/open?id=1WJQQZLP4dB8arOCTWUVceBC1dkh7zDYk,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,20,https://drive.google.com/open?id=1bnEoIAmmfAO5eRw4ln_pEpacYahia52W,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,21,https://drive.google.com/open?id=15QePMkr-iQqLjAIPdP_G-Jj6YI5LCtOI,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,22,https://drive.google.com/open?id=1pFb59A9bVbvOtqoc5hrnfyNdOM2kUJgg,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,23,https://drive.google.com/open?id=1bocCF_qhQ-mrHp9OCTAF1fH4Gld8EG3b,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,24,https://drive.google.com/open?id=1mtF3TmtNGVzC5km6JGesFIZDj9GHFS_Z,
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",financial report ,27,https://drive.google.com/open?id=1OUlMC-6Y1ue0z-5d0sG5eqj93szgKUzl,organizations
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,28,https://drive.google.com/open?id=1KzU_k_pVc0sU1dfqtdT_UHRy2fMWt3lh,organizations
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,29,https://drive.google.com/open?id=1hcgkhMZBWRLbWDCI2f-s5NZNqS1ZvqPn,organizations
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,30,https://drive.google.com/open?id=1Go_niHsDdkDjrLlDph5ptXfTzqg6fzWF,organizations
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,31,https://drive.google.com/open?id=1oPsEN2u7qTP6Fslj5oQ5FjLRuMGvGnQE,organizations
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,32,https://drive.google.com/open?id=1Yk3tlnk7nGdMgGZiBxSY0NhdJ12z7jaP,organizations
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,33,https://drive.google.com/open?id=1z4-2qF7btGvhxR4y0y_Wnq1Y0DNOfdms,organizations
,"NACW Convention Minutes, 1916, including NACW's fund-raising for Booker T. Washington Memorial, interest in purchase of Frederick Douglass home, contribution to NAACP, cooperation with NNBL, temperance, woman suffrage, antilynching letter to President Woodrow Wilson, and play productions, ""The Star of Ethiopia,"" and ""The Vindication of American Womanhood""",,34,https://drive.google.com/open?id=1F0QcctFd__Z0kwEOn9_5nSWbttS5pZ9u,organizations
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Illinois, Georgia, and Mary B. Talbert national tour, NACW 1916 convention, woman suffrage, 1916",Roster From State Clubs ,16,https://drive.google.com/open?id=1CS7bFU6UUMMid2rzNGQs4jo5jR1_H05P,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Illinois, Georgia, and Mary B. Talbert national tour, NACW 1916 convention, woman suffrage, 1916",,17,https://drive.google.com/open?id=1wz5HnrcCiNPtCx5Drxo7OiPPlVn5F8cg,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Illinois, Georgia, and Mary B. Talbert national tour, NACW 1916 convention, woman suffrage, 1916",,18,https://drive.google.com/open?id=1J8Y6CeHjTzODaZfRCiX4CAgWI5Sh3SZ6,
,"National Association Notes [newsletter of the NACWC] covering Colored women's club activities in Illinois, Georgia, and Mary B. Talbert national tour, NACW 1916 convention, woman suffrage, 1916",,19,https://drive.google.com/open?id=1uquLWRmHRRxsG82NAR6JLGSoc95bN78W,
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",national officers ,10,https://drive.google.com/open?id=1syUVZ76y0KQwldLuf3Af3iejn7cjPHrE,
,"National Association Notes [newsletter of the NACWC] covering thrift, social roles of women, tuberculosis, home life, industrial education, Frederick Douglass Home, public health, colored women's club activities in South Carolina, Michigan, California, Pennsylvania, Georgia, Indiana, Florida, and West Virginia, 1917",roster from state clubs ,16,https://drive.google.com/open?id=11PsFBsC-sTAEpcuCU8NzCfGFGBKzlibr,
